,miRNA,log2control_median,log2treatment_median,log2fold_change,p_value,Q_value
331,hsa-mir-660_hsa-miR-660-5p,5.828284264,5.096738577,-0.731545687000001,4.46188074153274e-07,1.12158235078254e-06
334,hsa-mir-671_hsa-miR-671-3p,4.297628403,3.3975076675,-0.9001207355,0.000225653482315726,0.000460082377832619
337,hsa-mir-7-1_hsa-miR-7-5p,8.061459541,9.622756958,1.561297417,1.59702825664306e-15,8.49433869837685e-15
338,hsa-mir-7-2_hsa-miR-7-5p,8.0362257955,9.622756958,1.5865311625,3.07511282958885e-15,1.52508974116096e-14
339,hsa-mir-7-3_hsa-miR-7-5p,8.0352249145,9.622756958,1.5875320435,2.95583202208943e-15,1.48601418096825e-14
340,hsa-mir-744_hsa-miR-744-5p,9.128887177,5.489465237,-3.63942194,3.72501357065592e-20,3.33434141568469e-19
344,hsa-mir-769_hsa-miR-769-5p,5.958899975,3.392416716,-2.566483259,5.90521681640189e-05,0.000130555094675873
345,hsa-mir-877_hsa-miR-877-5p,5.257720947,4.456029892,-0.801691055,0.00010347635308414,0.000222080827964207
350,hsa-mir-92a-1_hsa-miR-92a-1-5p,3.745101929,2.5817205905,-1.1633813385,1.54810949143457e-07,4.02947647770558e-07
351,hsa-mir-92a-1_hsa-miR-92a-3p,14.56389141,15.3840065,0.82011509,2.84357037596001e-08,7.90598733316154e-08
352,hsa-mir-92a-2_hsa-miR-92a-3p,14.500395295,15.32223511,0.821839814999999,1.38913936318769e-08,3.952047645658e-08
354,hsa-mir-93_hsa-miR-93-5p,9.90519619,10.87754059,0.972344400000001,3.38748736500196e-14,1.516107149946e-13
360,hsa-mir-942_hsa-miR-942-5p,5.227632284,7.751697063,2.524064779,2.73803299791308e-11,9.47979349277453e-11
361,hsa-mir-95_hsa-miR-95-3p,4.036130428,2.672227383,-1.363903045,8.52373489286544e-09,2.48057428588359e-08
362,hsa-mir-96_hsa-miR-96-5p,5.007553101,7.6844501495,2.6768970485,2.14507183219442e-09,6.67153696962163e-09
363,hsa-mir-98_hsa-miR-98-5p,7.7472071645,8.650560379,0.903353214500001,8.09950083660578e-05,0.000176935524228233
367,hsa-mir-99b_hsa-miR-99b-5p,9.126431465,6.734331846,-2.392099619,5.77068967756422e-29,1.82209057602356e-27
